timestamp,mid_price,book_imbalance,book_d_indicator
0:00:01,88081500,-6049.103187,0
0:00:02,88081500,-10159.8204,0
0:00:03,88081500,-9284.661671,-1.75905442
0:00:04,88081500,-11037.97955,0.163846111
0:00:05,88081500,-15682.59188,-1.421624675
0:00:06,88081500,-15682.59188,-1.306709235
0:00:07,88066500,-8324.977157,-1.82053455
0:00:08,88080000,-22701.4449,-3.062302042
0:00:09,88085000,-23392.11083,-0.570006111
0:00:10,88037500,7993.758376,-2.513282017
0:00:11,88037500,7760.83674,-0.892610064
0:00:12,88037500,7824.73796,-0.120445959
0:00:13,88037500,9230.698785,1.238431762
0:00:14,88037500,9645.640605,2.441814141
0:00:15,88022000,21680.02725,1.561587701
0:00:16,88035000,12907.88924,2.699316944
0:00:17,88022500,24173.20118,0.49599595
0:00:18,88041000,19320.80749,1.723570082
0:00:19,88041000,19207.40968,2.824916792
0:00:20,88041000,18454.17792,2.503783604
0:00:21,88041000,14995.70263,2.222793877
0:00:22,88041000,15605.79533,2.020950513
0:00:23,88042000,18671.82793,2.428427129
0:00:24,88073500,-1108.079532,2.755945502
0:00:25,88075000,503.5076714,2.478569499
0:00:26,88075000,6657.988268,2.930420088
0:00:27,88073000,10532.24486,2.711234234
0:00:28,88073500,9984.41064,3.118174862
0:00:29,88074000,13243.63886,4.071353551
0:00:30,88074000,12714.27003,2.374413337
0:00:31,88074000,12714.27003,2.182480291
0:00:32,88074000,12252.64941,1.370247752
0:00:33,88102000,-13243.06356,1.858222469
0:00:34,88074000,9182.883898,-0.219761122
0:00:35,88074000,6059.490419,-0.176941059
0:00:36,88074000,7530.164173,0.507266826
0:00:37,88101500,-12323.08189,2.312105205
0:00:38,88101500,-12321.31299,2.766756758
0:00:39,88101500,-12075.95736,3.172295591
0:00:40,88101500,-10938.03179,1.540177985
0:00:41,88097000,-8226.500305,0.70483874
0:00:42,88101500,-11136.14394,1.263573969
0:00:43,88101500,-9758.603097,0.541180525
0:00:44,88101500,-9758.603097,0.497434803
0:00:45,88101500,-8209.988716,-0.163038501
0:00:46,88101500,-4758.805584,-0.123423699
0:00:47,88102000,-3984.418701,-0.70986069
0:00:48,88102000,-3969.573418,0.048030211
0:00:49,88102000,-4247.23617,-0.561126383
0:00:50,88102000,-4259.530783,-1.110566055
0:00:51,88079000,5554.932082,-1.702928837
0:00:52,88079000,7592.57859,-1.46152464
0:00:53,88079000,7671.785658,-0.685612799
0:00:54,88079000,5423.109184,-0.58409185
0:00:55,88079000,4352.032177,0.161044147
0:00:56,88086000,-7827.744807,-1.212832464
0:00:57,88086000,-5397.522118,-1.052524875
0:00:58,88086000,-10239.02231,0.355659283
0:00:59,88086000,-8118.730934,-1.005673726
0:01:00,88085500,-10004.99487,0.391797391
0:01:01,88086000,-12884.36889,-0.331963138
0:01:02,88085500,-14817.21315,-1.582782034
0:01:03,88078500,-7913.770081,-0.738923582
0:01:04,88078500,-8012.697136,-1.936541555
0:01:05,88075000,-5957.82759,-2.348243791
0:01:06,88075000,-5957.82759,-2.158426132
0:01:07,88063500,6292.03012,-0.664729516
0:01:08,88063500,9784.116082,0.676131418
0:01:09,88073000,-1596.390218,1.85946424
0:01:10,88094500,-21097.66531,0.420454574
0:01:11,88072500,-7474.298432,-1.457919023
0:01:12,88046500,21713.74173,-1.855023151
0:01:13,88071500,4365.657801,-1.100521029
0:01:14,88071500,5490.262241,-0.372978757
0:01:15,88072000,4025.379382,-0.929064226
0:01:16,88072000,2850.602025,-0.21506635
0:01:17,88072500,4051.271802,-0.153904085
0:01:18,88065000,1396.239776,-0.676642713
0:01:19,88072500,-1437.98957,0.023765124
0:01:20,88072500,-4640.003965,-0.55877566
0:01:21,88073000,-771.6603945,-0.456622932
0:01:22,88073000,4095.24753,0.849379939
0:01:23,88073000,4095.24753,0.780721262
0:01:24,88073000,1577.771945,0.73336729
0:01:25,88073000,4965.780973,0.59028837
0:01:26,88073000,4965.780973,0.54257307
0:01:27,88073000,5059.363063,1.792942075
0:01:28,88072500,3862.199446,2.908691435
0:01:29,88072500,948.4130353,2.567759289
0:01:30,88072500,2342.90092,1.705369938
0:01:31,88073000,3416.208631,1.490098644
0:01:32,88073000,1122.197024,2.013746078
0:01:33,88073000,4868.688062,3.116314111
0:01:34,88073000,5816.000954,4.09956661
